148  know  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
149  language  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
150  languages  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
151  latest  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
152  launch  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
153  learn  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
154  less  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
155  lessons  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
156  light  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
157  likebetter  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
158  list  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
159  look  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
160  lurk  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
161  macheist  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
162  make  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
163  managing  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
164  markets  story: [1, '0.005565863']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
165  meet  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
166  membership  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
167  message  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
168  metal  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
169  metrics  story: [0, '0.001855288']  ask_hn: [1, '0.005093379']  show_hn: [0, '0.001569859']  poll: [0, '0.001912046']  
170  minute  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [1, '0.004709576']  poll: [0, '0.001912046']  
171  mouse  story: [0, '0.001855288']  ask_hn: [0, '0.001697793']  show_hn: [0, '0.001569859']  poll: [1, '0.005736138']  
